symbol,side,entry_price,exit_price,entry_time,exit_time,size,pnl,exit_reason,stop_loss,take_profit,mfe,mae,mfe_price,mae_price,mfe_time,mae_time
BTCUSDT,long,29481.969477823564,29428.39714422796,2025-09-16T20:31:40.927970,2025-09-16T21:31:40.927970,1.0,-18.171219407814657,Stop loss,30071.608867380037,30661.24825693651,0.0,-0.00181712,,29428.39714422796,,2025-09-16T21:31:40.927970
BTCUSDT,long,29511.07704908252,29428.45266084229,2025-09-16T22:31:40.927970,2025-09-16T23:31:40.927970,1.0,-27.946878900537982,Stop loss,30101.298590064172,30691.52013104582,0.0,-0.00279978,,29428.45266084229,,2025-09-16T23:31:40.927970
BTCUSDT,long,29463.013531574004,29592.371525115188,2025-09-17T00:31:40.927970,2025-09-17T01:31:40.927970,1.0,43.7027322194609,Stop loss,30052.273802205484,30641.534072836967,0.00439052,0.0,29592.371525115188,,2025-09-17T01:31:40.927970,
BTCUSDT,long,29533.80491873591,29500.37400081849,2025-09-17T02:31:40.927970,2025-09-17T03:31:40.927970,1.0,-11.316809066369506,Stop loss,30124.48101711063,30715.15711548535,0.0,-0.00113195,,29500.37400081849,,2025-09-17T03:31:40.927970
BTCUSDT,long,29506.25409183768,29476.557684606145,2025-09-17T04:31:40.927970,2025-09-17T05:31:40.927970,1.0,-10.050624356678359,Stop loss,30096.379173674435,30686.504255511187,0.0,-0.00100644,,29476.557684606145,,2025-09-17T05:31:40.927970
BTCUSDT,long,29385.282854155947,29389.312615258033,2025-09-17T06:31:40.927970,2025-09-17T07:31:40.927970,1.0,1.368092055469582,Stop loss,29972.988511239066,30560.694168322185,0.00013714,0.0,29389.312615258033,,2025-09-17T07:31:40.927970,
BTCUSDT,long,29326.938147479672,29354.72933894053,2025-09-17T08:31:40.927970,2025-09-17T09:31:40.927970,1.0,9.455094895610916,Stop loss,29913.476910429265,30500.01567337886,0.00094763,0.0,29354.72933894053,,2025-09-17T09:31:40.927970,
BTCUSDT,long,29300.800038954894,29391.769599110543,2025-09-17T10:31:40.927970,2025-09-17T11:31:40.927970,1.0,31.006548288585314,Stop loss,29886.816039733993,30472.83204051309,0.00310468,0.0,29391.769599110543,,2025-09-17T11:31:40.927970,
BTCUSDT,long,29345.763242536694,29326.867046919226,2025-09-17T12:31:40.927970,2025-09-17T13:31:40.927970,1.0,-6.450777001025233,Stop loss,29932.678507387427,30519.593772238164,0.0,-0.00064392,,29326.867046919226,,2025-09-17T13:31:40.927970
BTCUSDT,long,29374.621708171882,29302.398294529346,2025-09-17T14:31:40.927970,2025-09-17T15:31:40.927970,1.0,-24.61552212577385,Stop loss,29962.114142335322,30549.606576498758,0.0,-0.0024587,,29302.398294529346,,2025-09-17T15:31:40.927970
BTCUSDT,long,29315.731570285065,29392.47152887655,2025-09-17T16:31:40.927970,2025-09-17T17:31:40.927970,1.0,26.14297646535855,Stop loss,29902.046201690766,30488.360833096467,0.00261771,0.0,29392.47152887655,,2025-09-17T17:31:40.927970,
BTCUSDT,long,29298.127456243372,29308.948306655806,2025-09-17T18:31:40.927970,2025-09-17T19:31:40.927970,1.0,3.698206069313569,Stop loss,29884.090005368238,30470.052554493108,0.00036934,0.0,29308.948306655806,,2025-09-17T19:31:40.927970,
BTCUSDT,long,29324.18604910468,29370.074555137395,2025-09-17T20:31:40.927970,2025-09-17T21:31:40.927970,1.0,15.67501269110506,Stop loss,29910.669770086773,30497.153491068868,0.00156487,0.0,29370.074555137395,,2025-09-17T21:31:40.927970,
BTCUSDT,long,29297.505687062567,29220.235593515394,2025-09-17T22:31:40.927970,2025-09-17T23:31:40.927970,1.0,-26.459998915514866,Stop loss,29883.45580080382,30469.40591454507,0.0,-0.00263743,,29220.235593515394,,2025-09-17T23:31:40.927970
BTCUSDT,long,29250.75403061167,29268.13324271556,2025-09-18T00:31:40.927970,2025-09-18T01:31:40.927970,1.0,5.945044570697473,Stop loss,29835.769111223904,30420.78419183614,0.00059415,0.0,29268.13324271556,,2025-09-18T01:31:40.927970,
BTCUSDT,long,29282.79983252523,29303.096810706993,2025-09-18T02:31:40.927970,2025-09-18T03:31:40.927970,1.0,6.939670348657721,Stop loss,29868.455829175735,30454.11182582624,0.00069314,0.0,29303.096810706993,,2025-09-18T03:31:40.927970,
BTCUSDT,long,29263.27023939893,29276.86640232181,2025-09-18T04:31:40.927970,2025-09-18T05:31:40.927970,1.0,4.654944186397253,Stop loss,29848.53564418691,30433.80104897489,0.00046462,0.0,29276.86640232181,,2025-09-18T05:31:40.927970,
BTCUSDT,long,29294.031919864967,29252.209336517346,2025-09-18T06:31:40.927970,2025-09-18T07:31:40.927970,1.0,-14.31048701064444,Stop loss,29879.912558262266,30465.793196659568,0.0,-0.00142768,,29252.209336517346,,2025-09-18T07:31:40.927970
BTCUSDT,long,29361.569303808184,29389.407448645838,2025-09-18T08:31:40.927970,2025-09-18T09:31:40.927970,1.0,9.489935428275055,Stop loss,29948.80068988435,30536.032075960513,0.00094812,0.0,29389.407448645838,,2025-09-18T09:31:40.927970,
BTCUSDT,long,29319.46739381558,29357.9922861784,2025-09-18T10:31:40.927970,2025-09-18T11:31:40.927970,1.0,13.1643419380812,Stop loss,29905.856741691892,30492.246089568205,0.00131397,0.0,29357.9922861784,,2025-09-18T11:31:40.927970,
BTCUSDT,long,29300.818636479824,29346.979405830094,2025-09-18T12:31:40.927970,2025-09-18T13:31:40.927970,1.0,15.804376117954602,Stop loss,29886.835009209422,30472.851381939017,0.00157541,0.0,29346.979405830094,,2025-09-18T13:31:40.927970,
BTCUSDT,long,29415.060815380963,29366.819576334485,2025-09-18T14:31:40.927970,2025-09-18T15:31:40.927970,1.0,-16.47845265952947,Stop loss,30003.362031688583,30591.663247996203,0.0,-0.00164002,,29366.819576334485,,2025-09-18T15:31:40.927970
BTCUSDT,long,29423.456707616606,29447.75762065671,2025-09-18T16:31:40.927970,2025-09-18T17:31:40.927970,1.0,8.284833565074424,Stop loss,30011.925841768938,30600.39497592127,0.0008259,0.0,29447.75762065671,,2025-09-18T17:31:40.927970,
BTCUSDT,long,29496.21309974271,29608.322032775734,2025-09-18T18:31:40.927970,2025-09-18T19:31:40.927970,1.0,38.15815641054132,Stop loss,30086.137361737565,30676.061623732418,0.00380079,0.0,29608.322032775734,,2025-09-18T19:31:40.927970,
BTCUSDT,long,29593.794537218833,29549.21631950903,2025-09-18T20:31:40.927970,2025-09-18T21:31:40.927970,1.0,-15.180392714338083,Stop loss,30185.67042796321,30777.546318707587,0.0,-0.00150634,,29549.21631950903,,2025-09-18T21:31:40.927970
BTCUSDT,long,29496.694143993842,29448.60597257667,2025-09-18T22:31:40.927970,2025-09-18T23:31:40.927970,1.0,-16.404809496538718,Stop loss,30086.62802687372,30676.561909753596,0.0,-0.00163029,,29448.60597257667,,2025-09-18T23:31:40.927970
BTCUSDT,long,29444.06524696268,29464.161904208602,2025-09-19T00:31:40.927970,2025-09-19T01:31:40.927970,1.0,6.856835390181366,Stop loss,30032.946551901936,30621.827856841188,0.00068254,0.0,29464.161904208602,,2025-09-19T01:31:40.927970,
BTCUSDT,long,29480.471341481363,29529.283210843892,2025-09-19T02:31:40.927970,2025-09-19T03:31:40.927970,1.0,16.64504630903337,Stop loss,30070.080768310992,30659.690195140618,0.00165574,0.0,29529.283210843892,,2025-09-19T03:31:40.927970,
BTCUSDT,long,29530.051093922862,29616.02186595484,2025-09-19T04:31:40.927970,2025-09-19T05:31:40.927970,1.0,29.315621175305544,Stop loss,30120.65211580132,30711.253137679778,0.0029113,0.0,29616.02186595484,,2025-09-19T05:31:40.927970,
BTCUSDT,long,29600.34984890685,29761.8246072566,2025-09-19T06:31:40.927970,2025-09-19T07:31:40.927970,1.0,55.09127143968027,Stop loss,30192.356845884988,30784.363842863128,0.00545516,0.0,29761.8246072566,,2025-09-19T07:31:40.927970,
BTCUSDT,long,29799.089921817842,29748.048654524493,2025-09-19T08:31:40.927970,2025-09-19T09:31:40.927970,1.0,-17.3922653727593,Stop loss,30395.0717202542,30991.053518690558,0.0,-0.00171285,,29748.048654524493,,2025-09-19T09:31:40.927970
BTCUSDT,long,29684.40291233004,29713.06054776131,2025-09-19T10:31:40.927970,2025-09-19T11:31:40.927970,1.0,9.786000268383317,Stop loss,30278.09097057664,30871.779028823243,0.00096541,0.0,29713.06054776131,,2025-09-19T11:31:40.927970,
BTCUSDT,long,29699.783988258154,29742.225605265554,2025-09-19T12:31:40.927970,2025-09-19T13:31:40.927970,1.0,14.499428647821832,Stop loss,30293.77966802332,30887.77534778848,0.00142902,0.0,29742.225605265554,,2025-09-19T13:31:40.927970,
BTCUSDT,long,29770.389211631213,29766.05323727187,2025-09-19T14:31:40.927970,2025-09-19T15:31:40.927970,1.0,-1.4799076785083902,Stop loss,30365.79699586384,30961.20478009646,0.0,-0.00014565,,29766.05323727187,,2025-09-19T15:31:40.927970
BTCUSDT,long,29715.6844874659,29625.79128634234,2025-09-19T16:31:40.927970,2025-09-19T17:31:40.927970,1.0,-30.733376753961004,Stop loss,30309.998177215217,30904.311866964537,0.0,-0.00302511,,29625.79128634234,,2025-09-19T17:31:40.927970
BTCUSDT,long,29599.34637859421,29650.087509935864,2025-09-19T18:31:40.927970,2025-09-19T19:31:40.927970,1.0,17.363265977163444,Stop loss,30191.333306166096,30783.32023373798,0.00171427,0.0,29650.087509935864,,2025-09-19T19:31:40.927970,
BTCUSDT,long,29662.786024912042,29588.97384811346,2025-09-19T20:31:40.927970,2025-09-19T21:31:40.927970,1.0,-25.24720611980176,Stop loss,30256.041745410283,30849.297465908527,0.0,-0.00248838,,29588.97384811346,,2025-09-19T21:31:40.927970
BTCUSDT,long,29599.224114933688,29622.043097310827,2025-09-19T22:31:40.927970,2025-09-19T23:31:40.927970,1.0,7.802453017953708,Stop loss,30191.208597232362,30783.193079531036,0.00077093,0.0,29622.043097310827,,2025-09-19T23:31:40.927970,
