symbol,timeframe,momentum_acc,ci95,avg_abs_return_bps,ev_bps_per_trade,round_trip_cost_bps,clears_cost
BTCUSDT,15m,0.4800272259327009,"[0.4763410156264025, 0.4837156121363744]",16.010398487800412,-11.639544143448529,11.0,False
BTCUSDT,1h,0.4798163057035945,"[0.4724484507396225, 0.48719295087005965]",31.76885259418118,-12.282425617817042,11.0,False
BTCUSDT,4h,0.4643829401088929,"[0.44969718674515563, 0.4791307204036413]",64.36854981078368,-15.585236987428782,11.0,False
BTCUSDT,1d,0.5034106412005457,"[0.4672910511650166, 0.5394946677737621]",163.9312907334332,-9.88177837153184,11.0,False
ETHUSDT,15m,0.47414856948325507,"[0.47046409509885595, 0.4778358610833358]",23.119360494848355,-12.195337082848301,11.0,False
ETHUSDT,1h,0.4765713637395053,"[0.4692042184325874, 0.4839487182408001]",46.11287231778948,-13.16072342492025,11.0,False
ETHUSDT,4h,0.4843395369950068,"[0.4696028527585375, 0.499103506218166]",94.21667917254015,-13.950953637269754,11.0,False
ETHUSDT,1d,0.4870395634379263,"[0.45101655747134217, 0.5231977105612987]",250.20665881709303,-17.485575058014696,11.0,False
SOLUSDT,15m,0.480900810442516,"[0.4771930583651312, 0.4846106673009018]",28.30867072959065,-12.081345336769703,11.0,False
SOLUSDT,1h,0.48268781016485085,"[0.4752952994355098, 0.49008790653539575]",56.39969253279727,-12.95280436754366,11.0,False
SOLUSDT,4h,0.4910084224903255,"[0.4762393051927715, 0.505793251995552]",113.46881242425215,-13.04052724368676,11.0,False
SOLUSDT,1d,0.5143638850889193,"[0.4781518961582295, 0.5504256911748774]",291.0763621749998,-2.6380251632353033,11.0,False
LINKUSDT,15m,0.4760246409113422,"[0.472175095917596, 0.47987703689144623]",31.93761347375601,-12.53143150293611,11.0,False
LINKUSDT,1h,0.47350285171102663,"[0.4659666967526101, 0.4810510989006824]",62.434181779427526,-14.308655545820422,11.0,False
LINKUSDT,4h,0.4938357757618051,"[0.47890248932899465, 0.5087800690993703]",124.70545075443714,-12.537424724351045,11.0,False
LINKUSDT,1d,0.4972375690607735,"[0.460927532252941, 0.5335767664845867]",320.57110919560085,-12.771111100528177,11.0,False
DOGEUSDT,15m,0.4749794620852234,"[0.47084503097436653, 0.4791173261461979]",29.540131369291778,-12.478219953865693,11.0,False
DOGEUSDT,1h,0.4820360986164095,"[0.47465080328478865, 0.48942925080985294]",62.35330172561745,-13.240217126280509,11.0,False
DOGEUSDT,4h,0.49272396543883584,"[0.47796091306074046, 0.5074997177806783]",124.12224242097231,-12.80623545132838,11.0,False
DOGEUSDT,1d,0.5027322404371585,"[0.4665913457722071, 0.5388446067480093]",321.2225354250905,-9.244685598769996,11.0,False
