symbol,timeframe,statistic,p_value,bh_fdr_significant
BTCUSDT,15m,variance_ratio,0.993593031551135,False
BTCUSDT,15m,autocorrelation,0.0437217331521764,False
BTCUSDT,15m,arch_vol_clustering,0.0,True
BTCUSDT,15m,hurst,0.5768463073852296,False
BTCUSDT,15m,regime_persistence,0.001996007984031936,True
BTCUSDT,15m,directional_baseline,0.001996007984031936,True
BTCUSDT,1h,variance_ratio,0.9904542784468965,False
BTCUSDT,1h,autocorrelation,0.10333360710850595,False
BTCUSDT,1h,arch_vol_clustering,3.0490992077487127e-88,True
BTCUSDT,1h,hurst,0.48902195608782434,False
BTCUSDT,1h,regime_persistence,0.001996007984031936,True
BTCUSDT,1h,directional_baseline,0.001996007984031936,True
BTCUSDT,4h,variance_ratio,0.9802030263639898,False
BTCUSDT,4h,autocorrelation,0.020404824642137897,True
BTCUSDT,4h,arch_vol_clustering,3.4508692624064806e-14,True
BTCUSDT,4h,hurst,0.42115768463073855,False
BTCUSDT,4h,regime_persistence,0.001996007984031936,True
BTCUSDT,4h,directional_baseline,0.001996007984031936,True
BTCUSDT,1d,variance_ratio,0.9770483271845667,False
BTCUSDT,1d,autocorrelation,0.6095389388847552,False
BTCUSDT,1d,arch_vol_clustering,3.4149900564372795e-13,True
BTCUSDT,1d,hurst,0.21357285429141717,False
BTCUSDT,1d,regime_persistence,0.011976047904191617,True
BTCUSDT,1d,directional_baseline,0.8882235528942116,False
ETHUSDT,15m,variance_ratio,0.9971063589910627,False
ETHUSDT,15m,autocorrelation,0.09847955973224648,False
ETHUSDT,15m,arch_vol_clustering,5.68666648103582e-149,True
ETHUSDT,15m,hurst,0.18562874251497005,False
ETHUSDT,15m,regime_persistence,0.001996007984031936,True
ETHUSDT,15m,directional_baseline,0.001996007984031936,True
ETHUSDT,1h,variance_ratio,0.9969881962305266,False
ETHUSDT,1h,autocorrelation,0.5461576131199971,False
ETHUSDT,1h,arch_vol_clustering,5.089453789600645e-26,True
ETHUSDT,1h,hurst,0.18163672654690619,False
ETHUSDT,1h,regime_persistence,0.001996007984031936,True
ETHUSDT,1h,directional_baseline,0.001996007984031936,True
ETHUSDT,4h,variance_ratio,0.9884477304233913,False
ETHUSDT,4h,autocorrelation,0.0004841712158534815,True
ETHUSDT,4h,arch_vol_clustering,1.7002173168180187e-18,True
ETHUSDT,4h,hurst,0.11377245508982035,False
ETHUSDT,4h,regime_persistence,0.001996007984031936,True
ETHUSDT,4h,directional_baseline,0.023952095808383235,False
ETHUSDT,1d,variance_ratio,0.9876229935500832,False
ETHUSDT,1d,autocorrelation,0.8428238080583934,False
