id,position_id,order_type,status,side,quantity,actual_fill_price,actual_fill_quantity,actual_commission,created_at,filled_at
7256,5,ENTRY,FILLED,LONG,0.00560000,1968.53000000,0.00560000,0.00000560,2026-06-02 09:22:38.697407,2026-06-02 09:22:43.760444
7257,5,FULL_EXIT,CONFIRMED,LONG,0.00560000,1969.12000000,0.00560000,0.01102707,2026-06-02 09:22:52.203271,2026-06-02 09:22:54.403705
7262,8,ENTRY,FILLED,LONG,0.00560000,1965.34000000,0.00560000,0.00000560,2026-06-02 14:09:56.292039,2026-06-02 14:10:01.467167
7263,8,FULL_EXIT,CONFIRMED,LONG,0.00560000,1965.15000000,0.00560000,0.01100484,2026-06-02 14:10:09.56587,2026-06-02 14:10:11.716307
7267,10,ENTRY,FILLED,LONG,0.00430000,1913.41000000,0.00430000,0.00000430,2026-06-02 18:30:51.28844,2026-06-02 18:30:56.505323
7268,10,FULL_EXIT,CONFIRMED,LONG,0.00430000,1912.36000000,0.00430000,0.00822315,2026-06-02 18:31:04.6031,2026-06-02 18:31:07.01667
7269,11,ENTRY,FILLED,LONG,0.00410000,1914.08000000,0.00410000,0.00000410,2026-06-02 18:33:14.995895,2026-06-02 18:33:20.407881
7270,11,FULL_EXIT,CONFIRMED,LONG,0.00410000,1913.63000000,0.00410000,0.00784588,2026-06-02 18:33:41.100255,2026-06-02 18:33:43.642727
7340,13,ENTRY,FILLED,LONG,0.00370000,1765.48000000,0.00370000,0.00000370,2026-06-04 20:06:56.315299,2026-06-04 20:07:01.264455
7371,15,ENTRY,FILLED,SHORT,0.00370000,1609.95000000,0.00370000,0.00595682,2026-06-05 21:04:00.240786,2026-06-05 21:04:05.277842
7372,15,FULL_EXIT,CONFIRMED,SHORT,0.00370000,1612.50000000,0.00370000,0.00000370,2026-06-05 21:04:14.884592,2026-06-05 21:04:17.178887
7374,16,ENTRY,FILLED,LONG,0.00390000,1554.74000000,0.00390000,0.00000390,2026-06-06 17:40:01.170404,2026-06-06 17:40:06.781151
7416,16,FULL_EXIT,CONFIRMED,LONG,0.00390000,1616.38000000,0.00390000,0.00630389,2026-06-07 12:53:48.49251,2026-06-07 12:53:50.744304
7417,17,ENTRY,FILLED,LONG,0.00590000,1616.46000000,0.00590000,0.00000590,2026-06-07 12:54:01.486277,2026-06-07 12:54:06.591526
7418,17,FULL_EXIT,CONFIRMED,LONG,0.00590000,1677.48000000,0.00590000,0.00989713,2026-06-07 22:14:35.082287,2026-06-07 22:14:37.382775
7419,18,ENTRY,FILLED,LONG,0.00720000,1673.21000000,0.00720000,0.00000720,2026-06-07 23:04:53.385199,2026-06-07 23:04:58.496818
7420,18,FULL_EXIT,CONFIRMED,LONG,0.00720000,1731.44000000,0.00720000,0.01246637,2026-06-14 21:50:09.892201,2026-06-14 21:50:12.274124
7421,19,ENTRY,FILLED,SHORT,0.00560000,1726.78000000,0.00560000,0.00966997,2026-06-14 21:52:23.805799,2026-06-14 21:52:28.951632
7422,19,FULL_EXIT,CONFIRMED,SHORT,0.00560000,1698.13000000,0.00560000,0.00000560,2026-06-18 19:41:43.104672,2026-06-18 19:41:45.521212
7423,20,ENTRY,FILLED,SHORT,0.00710000,1698.18000000,0.00710000,0.01205708,2026-06-18 19:41:54.929787,2026-06-18 19:42:00.061318
7424,20,FULL_EXIT,CONFIRMED,SHORT,0.00710000,1643.82000000,0.00710000,0.00000710,2026-06-23 08:24:46.567649,2026-06-23 08:24:48.788972
7425,21,ENTRY,FILLED,LONG,0.00470000,1643.70000000,0.00470000,0.00000470,2026-06-23 08:24:59.555808,2026-06-23 08:25:04.713781
7426,21,FULL_EXIT,CONFIRMED,LONG,0.00470000,1695.24000000,0.00470000,0.00796763,2026-07-02 13:34:09.31763,2026-07-02 13:34:11.553345
7427,22,ENTRY,FILLED,SHORT,0.00790000,1696.83000000,0.00790000,0.01340496,2026-07-02 13:34:19.825485,2026-07-02 13:34:24.948128
