date,price,volume,score1,score2,score3,count,mean,sum
2019-04-15,5191.0,4408.0,0.1438,0.3162,0.1652,30,0.2084,6.2513
2019-04-16,5193.0,10155.0,0.0954,-0.0067,0.0155,27,0.0348,0.9384
2019-04-17,5229.0,8624.0,0.3145,0.1458,0.1565,48,0.2056,9.8685
2019-04-18,5272.0,7415.0,-0.3733,0.0696,0.0373,69,-0.0888,-6.1282
2019-04-19,5318.0,8234.0,0.1493,0.1962,0.2872,51,0.2109,10.7553
2019-04-20,5359.0,6330.0,-0.4946,-0.2475,-0.1837,24,-0.3086,-7.4059
2019-04-21,5359.0,4905.0,0.1181,0.1099,0.3183,36,0.1821,6.5553
2019-04-22,5349.0,5748.0,-0.0897,-0.125,0.1451,78,-0.0232,-1.8104
2019-04-23,5440.0,12286.0,-0.1313,-0.0136,0.0729,60,-0.024,-1.4395
2019-04-24,5650.0,18208.0,-0.0809,0.011,0.2243,84,0.0515,4.3219
2019-04-25,5624.0,15137.0,0.1128,0.1231,0.1533,105,0.1298,13.6245
2019-04-26,5512.0,18152.0,-0.1267,0.0322,0.2214,87,0.0423,3.6794
2019-04-27,5295.0,14423.0,0.1217,0.0195,0.0557,36,0.0657,2.3634
2019-04-28,5221.0,4268.0,-0.1717,0.0531,0.2646,36,0.0487,1.7522
2019-04-29,5214.0,4913.0,0.2009,0.2549,0.2351,66,0.2303,15.2001
2019-04-30,5189.0,7338.0,0.2278,0.2442,0.3301,108,0.2674,28.8766
2019-05-01,5285.0,7270.0,0.0164,0.1591,0.2309,93,0.1355,12.5996
2019-05-02,5358.0,7327.0,-0.3706,0.1133,0.1283,81,-0.043,-3.482
2019-05-03,5422.0,7324.0,-0.178,-0.1438,0.0131,84,-0.1029,-8.6443
2019-05-04,5796.0,19730.0,-0.2017,-0.1048,0.1614,66,-0.0484,-3.1925
2019-05-05,5846.0,11070.0,0.0894,0.0839,0.236,60,0.1364,8.1866
2019-05-06,5782.0,5764.0,0.0969,0.1602,0.228,150,0.1617,24.2547
2019-05-07,5753.0,9144.0,0.1695,0.1235,0.2651,144,0.186,26.7875
2019-05-08,5974.0,16066.0,0.001,0.0737,0.1799,201,0.0849,17.0604
2019-05-09,5990.0,12720.0,-0.049,0.1342,0.2284,84,0.1045,8.781
2019-05-10,6171.0,15697.0,-0.0539,0.1122,0.1255,156,0.0613,9.5573
2019-05-11,6430.0,17600.0,0.2422,0.229,0.3131,90,0.2614,23.5275
2019-05-12,7464.0,37819.0,0.4676,0.3567,0.3818,84,0.402,33.7685
2019-05-13,7581.0,41012.0,0.1332,0.1894,0.1791,147,0.1672,24.5823
2019-05-14,8195.0,47215.0,-0.2754,0.1059,0.1666,153,-0.001,-0.1498
2019-05-15,8350.0,39515.0,0.0399,0.0421,0.1807,171,0.0875,14.9682
2019-05-16,8308.0,24928.0,0.1863,0.1496,0.2661,183,0.2007,36.7208
2019-05-17,8388.0,29391.0,-0.0956,0.0361,0.1468,159,0.0291,4.6272
2019-05-18,7940.0,47374.0,0.3367,0.383,0.3632,84,0.361,30.3207
2019-05-19,7491.0,11074.0,0.2844,0.2232,0.3814,81,0.2963,24.0022
2019-05-20,8315.0,25170.0,0.0572,0.1473,0.2404,165,0.1483,24.4657
2019-05-21,8199.0,25402.0,-0.0589,0.0639,0.1847,168,0.0632,10.6252
2019-05-22,8112.0,14246.0,-0.199,0.0833,0.2046,174,0.0296,5.1579
2019-05-23,8044.0,17522.0,0.0125,0.1298,0.1768,156,0.1064,16.5939
2019-05-24,7984.0,14905.0,0.1597,0.1142,0.1505,150,0.1415,21.2206
2019-05-25,8175.0,14767.0,0.4634,0.1578,0.2054,51,0.2755,14.053
2019-05-26,8149.0,5373.0,0.078,0.0336,0.3124,63,0.1413,8.9043
2019-05-27,8793.0,19430.0,-0.0863,0.0238,0.196,159,0.0445,7.0769
2019-05-28,8947.0,18163.0,-0.0025,0.1352,0.2227,195,0.1185,23.1012
2019-05-29,8822.0,11990.0,-0.0738,0.1089,0.1508,204,0.0619,12.6374
2019-05-30,8760.0,12327.0,-0.0828,0.058,0.1529,189,0.0427,8.0715
2019-05-31,9090.0,31707.0,0.0258,0.1378,0.168,204,0.1105,22.5439
2019-06-01,8580.0,16598.0,0.2289,0.1087,0.2519,108,0.1965,21.2223
2019-06-02,8618.0,7486.0,0.4131,0.3643,0.3573,84,0.3782,31.7704
2019-06-03,8834.0,5865.0,0.0561,0.1829,0.1978,204,0.1456,29.6924
2019-06-04,8742.0,16677.0,0.1404,0.221,0.2975,219,0.2196,48.0996
2019-06-05,8104.0,30486.0,0.2001,0.1713,0.3017,216,0.2244,48.4641
2019-06-06,7932.0,13294.0,-0.28,-0.0244,0.1203,219,-0.0613,-13.4333
2019-06-07,7874.0,12526.0,0.1027,0.1194,0.2517,180,0.158,28.4314
2019-06-08,8134.0,12669.0,0.3068,0.1728,0.187,105,0.2222,23.3316
2019-06-09,8059.0,5088.0,-0.0216,-0.0772,0.1443,114,0.0152,1.7337
2019-06-10,7960.0,7667.0,0.0741,0.152,0.1919,273,0.1393,38.0349
2019-06-11,8097.0,9866.0,-0.0512,0.0065,0.1738,198,0.043,8.5182
2019-06-12,8057.0,7810.0,0.0705,0.1306,0.2359,252,0.1457,36.7109
2019-06-13,8292.0,12826.0,0.1558,0.1612,0.2033,276,0.1735,47.8734
2019-06-14,8329.0,8631.0,0.0648,0.1107,0.1997,201,0.1251,25.1407
2019-06-15,8738.0,12739.0,0.4692,0.2977,0.2897,84,0.3522,29.5852
2019-06-16,8916.0,9997.0,0.3569,0.2911,0.3331,135,0.327,44.1471
2019-06-17,9388.0,22620.0,-0.0002,0.0365,0.2517,234,0.096,22.4664
2019-06-18,9475.0,20653.0,-0.1141,0.1483,0.1776,264,0.0706,18.6442
2019-06-19,9359.0,16415.0,-0.1808,0.05,0.1529,255,0.0074,1.8872
2019-06-20,9319.0,9225.0,0.1715,0.1116,0.1698,315,0.151,47.5565
2019-06-21,9599.0,12144.0,0.0201,0.0047,0.1696,222,0.0648,14.3856
2019-06-22,10245.0,24905.0,-0.052,0.0923,0.2157,147,0.0853,12.5407
2019-06-23,11215.0,38347.0,0.0847,0.0595,0.2846,126,0.1429,18.0065
2019-06-24,11284.0,17386.0,-0.1473,0.0272,0.2023,261,0.0274,7.1523
2019-06-25,11091.0,15499.0,-0.1228,0.0502,0.2099,300,0.0458,13.7271
2019-06-26,11788.0,25027.0,0.0131,0.041,0.16,273,0.0714,19.492
2019-06-27,13868.0,82377.0,-0.0731,0.0688,0.1868,327,0.0608,19.8951
2019-06-28,13358.0,77275.0,-0.0817,0.0621,0.1939,279,0.0581,16.2205
