date,btc_etf_netflow_usd,eth_etf_netflow_usd
2026-05-01,120000000,42000000.0
2026-05-02,80000000,28000000.0
2026-05-03,-50000000,-17500000.0
2026-05-04,-30000000,-10500000.0
2026-05-05,200000000,70000000.0
2026-05-06,-410000000,-143500000.0
2026-05-07,-520000000,-182000000.0
2026-05-08,-380000000,-133000000.0
2026-05-09,-260000000,-91000000.0
2026-05-10,-640000000,-224000000.0
2026-05-11,-720000000,-252000000.0
2026-05-12,-410000000,-143500000.0
2026-05-13,-300000000,-105000000.0
2026-05-14,-580000000,-203000000.0
2026-05-15,-910000000,-318500000.0
2026-05-16,-1120000000,-392000000.0
2026-05-17,-640000000,-224000000.0
2026-05-18,-520000000,-182000000.0
2026-05-19,-430000000,-150500000.0
2026-05-20,-380000000,-133000000.0
2026-05-21,-260000000,-91000000.0
2026-05-22,-190000000,-66500000.0
2026-05-23,-340000000,-119000000.0
2026-05-24,-410000000,-143500000.0
2026-05-25,-220000000,-77000000.0
2026-05-26,-160000000,-56000000.0
2026-05-27,-90000000,-31500000.0
2026-05-28,-450000000,-157500000.0
2026-05-29,-830000000,-290500000.0
2026-05-30,-1240000000,-434000000.0
2026-05-31,-980000000,-343000000.0
2026-06-01,-760000000,-266000000.0
2026-06-02,-540000000,-189000000.0
2026-06-03,-210000000,-73500000.0
2026-06-04,-120000000,-42000000.0
2026-06-05,60000000,21000000.0
2026-06-06,140000000,49000000.0
2026-06-07,40000000,14000000.0
2026-06-08,-80000000,-28000000.0
2026-06-09,-30000000,-10500000.0
2026-06-10,90000000,31500000.0
2026-06-11,210000000,73500000.0
2026-06-12,60000000,21000000.0
2026-06-13,-20000000,-7000000.0
2026-06-14,130000000,45500000.0
